Facility Type,Facility Name,Latitude,Longitude,Address,Agency,Landowner,Notes
AZDPS Facility,AZDPS District 8 (Tucson District Office),32.135182,-110.933646,"6401 S Tucson Blvd, Tucson, AZ 85706",Arizona Department of Public Safety (AZDPS),US Bank National Association Trust / (Lease agreement to State of Arizona),This is the regional headquarters for DPS operations in southern Arizona. It also houses the Southern Communications Center (run by AZDPS' Operational Communication [OPCOMM] Bureau) and the Southern Laboratory for evidence analysis.
PCSD Facility,PCSD Main Headquarters,32.171286,-110.946859,"1750 E Benson Hwy, Tucson, AZ 85714",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD Foothills District Office,32.339912,-111.028066,"7300 N Shannon Rd, Tucson, AZ 85741",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD Green Valley District Office,31.880121,-110.996610,"601 N La Cañada Dr, Green Valley, AZ 85614",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD Rincon District Office,32.258634,-110.800138,"8999 E Tanque Verde Rd, Tucson, AZ 85749",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD San Xavier District Office,32.133985,-111.067073,"4774 W Valencia Rd, Tucson, AZ 85757",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD Tucson Mountain District Office,32.318491,-111.218656,"6261 N Sandario Rd, Tucson, AZ 85743",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD Vail District Office,32.045055,-110.783483,"9930 E Brekke Rd, Tucson, AZ 85747",Pima County Sheriff's Department (PCSD),Pima County,
PCSD Facility,PCSD Civil Enforcement Unit Office,32.222516,-110.971006,"32 N Stone Ave 16th floor, Tucson, AZ 85701",Pima County Sheriff's Department (PCSD),US Bank National Association Trust / (Lease agreement to Pima County),
PCSD Facility,PCSD Air Unit,32.109879,-110.942949,"1901 E Aero Park Blvd, Tucson, AZ 85756",Pima County Sheriff's Department (PCSD),City of Tucson,
Pima County Sheriff's Department (PCSD) Maintenance Facility,PCSD Fleet Maintenance and Supply Facility,32.171537,-110.949378,"1680 E Benson Hwy, Tucson, AZ 85714",Pima County Sheriff's Department (PCSD),Pima County,
Pima County Constables Facility,Pima County Constables Office,32.225341,-110.971402,"240 N Stone Ave, Tucson, AZ 85701",Pima County Constables’ Office,Pima County,
TPD Facility,TPD Headquarters,32.217741,-110.971711,"270 S Stone Ave, Tucson, AZ 85701",Tucson Police Department (TPD),City of Tucson,
TPD Facility,TPD Division Midtown - Patrick K. Hardesty Midtown Multi-Service Center,32.208122,-110.910521,"1100 S Alvernon Way, Tucson, AZ 85713",Tucson Police Department (TPD),City of Tucson,
TPD Facility,TPD Operations Division East - Erik D. Hite Eastside Substation,32.190723,-110.786612,"9670 E Golf Links Rd, Tucson, AZ 85730",Tucson Police Department (TPD),City of Tucson,
TPD Facility,TPD Operations Division South - Santa Cruz Substation,32.171114,-110.956658,"4410 S Park Ave, Tucson, AZ 85714",Tucson Police Department (TPD),City of Tucson,
TPD Facility,TPD Operations Division West - Westside Police Service Center,32.262829,-110.993832,"1310 W Miracle Mile, Tucson, AZ 85705",Tucson Police Department (TPD),City of Tucson,
TPD Facility,TPD Tactical Support Section,32.130324,-110.940032,"6702 S Plumer Ave, Tucson, AZ 85756",Tucson Police Department (TPD),City of Tucson,
South Tucson PD Facility,South Tucson PD Headquarters,32.201863,-110.967395,"1601 S 6th Ave, Tucson, AZ 85713",South Tucson Police Department,City of South Tucson,
UAPD Facility,UAPD Headquarters,32.234557,-110.944397,"1852 E 1st St, Tucson, AZ 85721",University of Arizona Police Department (UAPD),Arizona Board of Regents,
Oro Valley PD (OVPD) Facility,Oro Valley PD Main Station,32.407868,-110.995344,"11000 N La Cañada Dr #7016, Tucson, AZ 85737",Oro Valley Police Department (OVPD),Valley National Bank of AZ Trust / % Town of Oro Valley,
Oro Valley PD (OVPD) Facility,Oro Valley PD Magee Station,32.352587,-110.977566,"500 West Magee Road, Oro Valley, Arizona 85704 ",Oro Valley Police Department (OVPD),Town of Oro Valley,
Oro Valley PD (OVPD) Facility,Oro Valley PD Sun City Station,32.466754,-110.955026,"1171 East Rancho Vistoso Boulevard, Suite 115 (Mountain View Plaza), Oro Valley, Arizona 85755",Oro Valley Police Department (OVPD),Mountain Vista Plaza LLC,
Private Security Contractor Facility,Allied Universal office,32.220103,-110.881099,"5210 E Williams Cir # 610, Tucson, AZ 85711",Allied Universal,WCCP Rosemont LLC 57.079% & RP1,"Allied Universal is the parent company of G4S Secure Solutions USA, which is a private security contractor providing services including logistics and prisoner transport for ICE."
Private Security Contractor Facility,G4S Secure Solutions USA office,32.341363,-110.976290,"7400 N Oracle Rd #311, Tucson, AZ 85704",G4S,Northwest Corporate Management LLC,"G4S Secure Solutions USA, a subsidiary of Allied Universal, is a private security contractor providing services including logistics and prisoner transport for ICE."
